Data,Ora,price,date,datetime
10/01/2018,22,52.33,2018-01-10,2018-01-10T22:00:00.000000+0100
10/01/2018,23,50.03,2018-01-10,2018-01-10T23:00:00.000000+0100
10/01/2018,24,45.5,2018-01-10,2018-01-11T00:00:00.000000+0100
11/01/2018,1,43.32,2018-01-11,2018-01-11T01:00:00.000000+0100
11/01/2018,2,39.0,2018-01-11,2018-01-11T02:00:00.000000+0100
11/01/2018,3,38.0,2018-01-11,2018-01-11T03:00:00.000000+0100
11/01/2018,4,38.2,2018-01-11,2018-01-11T04:00:00.000000+0100
11/01/2018,5,37.8,2018-01-11,2018-01-11T05:00:00.000000+0100
11/01/2018,6,40.71,2018-01-11,2018-01-11T06:00:00.000000+0100
11/01/2018,7,49.0,2018-01-11,2018-01-11T07:00:00.000000+0100
11/01/2018,8,53.78,2018-01-11,2018-01-11T08:00:00.000000+0100
11/01/2018,9,59.61,2018-01-11,2018-01-11T09:00:00.000000+0100
11/01/2018,10,59.02,2018-01-11,2018-01-11T10:00:00.000000+0100
11/01/2018,11,57.58,2018-01-11,2018-01-11T11:00:00.000000+0100
11/01/2018,12,57.45,2018-01-11,2018-01-11T12:00:00.000000+0100
11/01/2018,13,54.61,2018-01-11,2018-01-11T13:00:00.000000+0100
11/01/2018,14,54.83,2018-01-11,2018-01-11T14:00:00.000000+0100
11/01/2018,15,54.74,2018-01-11,2018-01-11T15:00:00.000000+0100
11/01/2018,16,61.27,2018-01-11,2018-01-11T16:00:00.000000+0100
11/01/2018,17,63.5,2018-01-11,2018-01-11T17:00:00.000000+0100
11/01/2018,18,72.44,2018-01-11,2018-01-11T18:00:00.000000+0100
11/01/2018,19,73.02,2018-01-11,2018-01-11T19:00:00.000000+0100
11/01/2018,20,68.92,2018-01-11,2018-01-11T20:00:00.000000+0100
11/01/2018,21,55.84,2018-01-11,2018-01-11T21:00:00.000000+0100
11/01/2018,22,50.33,2018-01-11,2018-01-11T22:00:00.000000+0100
11/01/2018,23,48.98,2018-01-11,2018-01-11T23:00:00.000000+0100
11/01/2018,24,44.69,2018-01-11,2018-01-12T00:00:00.000000+0100
12/01/2018,1,47.19,2018-01-12,2018-01-12T01:00:00.000000+0100
12/01/2018,2,44.26,2018-01-12,2018-01-12T02:00:00.000000+0100
12/01/2018,3,43.5,2018-01-12,2018-01-12T03:00:00.000000+0100
12/01/2018,4,39.16,2018-01-12,2018-01-12T04:00:00.000000+0100
12/01/2018,5,39.1,2018-01-12,2018-01-12T05:00:00.000000+0100
12/01/2018,6,41.89,2018-01-12,2018-01-12T06:00:00.000000+0100
12/01/2018,7,49.0,2018-01-12,2018-01-12T07:00:00.000000+0100
12/01/2018,8,52.24,2018-01-12,2018-01-12T08:00:00.000000+0100
12/01/2018,9,55.21,2018-01-12,2018-01-12T09:00:00.000000+0100
12/01/2018,10,56.02,2018-01-12,2018-01-12T10:00:00.000000+0100
12/01/2018,11,54.61,2018-01-12,2018-01-12T11:00:00.000000+0100
12/01/2018,12,53.17,2018-01-12,2018-01-12T12:00:00.000000+0100
12/01/2018,13,52.08,2018-01-12,2018-01-12T13:00:00.000000+0100
12/01/2018,14,51.41,2018-01-12,2018-01-12T14:00:00.000000+0100
12/01/2018,15,52.18,2018-01-12,2018-01-12T15:00:00.000000+0100
12/01/2018,16,52.28,2018-01-12,2018-01-12T16:00:00.000000+0100
12/01/2018,17,52.53,2018-01-12,2018-01-12T17:00:00.000000+0100
12/01/2018,18,54.84,2018-01-12,2018-01-12T18:00:00.000000+0100
12/01/2018,19,55.34,2018-01-12,2018-01-12T19:00:00.000000+0100
12/01/2018,20,54.53,2018-01-12,2018-01-12T20:00:00.000000+0100
12/01/2018,21,52.0,2018-01-12,2018-01-12T21:00:00.000000+0100
12/01/2018,22,50.0,2018-01-12,2018-01-12T22:00:00.000000+0100
12/01/2018,23,45.15,2018-01-12,2018-01-12T23:00:00.000000+0100
12/01/2018,24,43.57,2018-01-12,2018-01-13T00:00:00.000000+0100
13/01/2018,1,44.59,2018-01-13,2018-01-13T01:00:00.000000+0100
13/01/2018,2,42.25,2018-01-13,2018-01-13T02:00:00.000000+0100
13/01/2018,3,36.11,2018-01-13,2018-01-13T03:00:00.000000+0100
13/01/2018,4,33.8,2018-01-13,2018-01-13T04:00:00.000000+0100
13/01/2018,5,32.55,2018-01-13,2018-01-13T05:00:00.000000+0100
13/01/2018,6,32.55,2018-01-13,2018-01-13T06:00:00.000000+0100
13/01/2018,7,43.56,2018-01-13,2018-01-13T07:00:00.000000+0100
13/01/2018,8,52.1,2018-01-13,2018-01-13T08:00:00.000000+0100
13/01/2018,9,52.93,2018-01-13,2018-01-13T09:00:00.000000+0100
13/01/2018,10,53.29,2018-01-13,2018-01-13T10:00:00.000000+0100
13/01/2018,11,52.51,2018-01-13,2018-01-13T11:00:00.000000+0100
13/01/2018,12,47.73,2018-01-13,2018-01-13T12:00:00.000000+0100
13/01/2018,13,44.7,2018-01-13,2018-01-13T13:00:00.000000+0100
13/01/2018,14,43.78,2018-01-13,2018-01-13T14:00:00.000000+0100
13/01/2018,15,45.0,2018-01-13,2018-01-13T15:00:00.000000+0100
13/01/2018,16,48.73,2018-01-13,2018-01-13T16:00:00.000000+0100
13/01/2018,17,52.83,2018-01-13,2018-01-13T17:00:00.000000+0100
13/01/2018,18,60.0,2018-01-13,2018-01-13T18:00:00.000000+0100
13/01/2018,19,60.0,2018-01-13,2018-01-13T19:00:00.000000+0100
13/01/2018,20,56.34,2018-01-13,2018-01-13T20:00:00.000000+0100
13/01/2018,21,52.76,2018-01-13,2018-01-13T21:00:00.000000+0100
13/01/2018,22,50.5,2018-01-13,2018-01-13T22:00:00.000000+0100
13/01/2018,23,46.66,2018-01-13,2018-01-13T23:00:00.000000+0100
13/01/2018,24,44.1,2018-01-13,2018-01-14T00:00:00.000000+0100
14/01/2018,1,42.04,2018-01-14,2018-01-14T01:00:00.000000+0100
14/01/2018,2,36.07,2018-01-14,2018-01-14T02:00:00.000000+0100
14/01/2018,3,35.02,2018-01-14,2018-01-14T03:00:00.000000+0100
14/01/2018,4,33.18,2018-01-14,2018-01-14T04:00:00.000000+0100
14/01/2018,5,32.81,2018-01-14,2018-01-14T05:00:00.000000+0100
14/01/2018,6,32.55,2018-01-14,2018-01-14T06:00:00.000000+0100
14/01/2018,7,36.1,2018-01-14,2018-01-14T07:00:00.000000+0100
14/01/2018,8,43.56,2018-01-14,2018-01-14T08:00:00.000000+0100
14/01/2018,9,45.92,2018-01-14,2018-01-14T09:00:00.000000+0100
14/01/2018,10,47.93,2018-01-14,2018-01-14T10:00:00.000000+0100
14/01/2018,11,51.5,2018-01-14,2018-01-14T11:00:00.000000+0100
14/01/2018,12,51.03,2018-01-14,2018-01-14T12:00:00.000000+0100
14/01/2018,13,51.03,2018-01-14,2018-01-14T13:00:00.000000+0100
14/01/2018,14,48.73,2018-01-14,2018-01-14T14:00:00.000000+0100
14/01/2018,15,49.13,2018-01-14,2018-01-14T15:00:00.000000+0100
14/01/2018,16,51.1,2018-01-14,2018-01-14T16:00:00.000000+0100
14/01/2018,17,55.33,2018-01-14,2018-01-14T17:00:00.000000+0100
14/01/2018,18,61.0,2018-01-14,2018-01-14T18:00:00.000000+0100
14/01/2018,19,62.5,2018-01-14,2018-01-14T19:00:00.000000+0100
14/01/2018,20,58.84,2018-01-14,2018-01-14T20:00:00.000000+0100
14/01/2018,21,58.32,2018-01-14,2018-01-14T21:00:00.000000+0100
14/01/2018,22,53.0,2018-01-14,2018-01-14T22:00:00.000000+0100
14/01/2018,23,48.73,2018-01-14,2018-01-14T23:00:00.000000+0100
14/01/2018,24,43.65,2018-01-14,2018-01-15T00:00:00.000000+0100
15/01/2018,1,42.0,2018-01-15,2018-01-15T01:00:00.000000+0100
